                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6534,                 3.8468,                 4.1757,                0.00216,                0.10029,                 0.0016,                0.00056,                  4.444,                 3.8911,                 4.1436,             0.00045009,             0.00045009,             0.00045009
                      2,                 3.4945,                 3.3641,                 3.9471,                0.00288,                0.12461,                0.00429,                0.00147,                 4.4593,                 3.9793,                 4.1915,             0.00090777,             0.00090777,             0.00090777
                      3,                 3.3688,                 3.1766,                 3.7101,                0.00479,                0.18894,                0.00465,                 0.0018,                 4.3069,                 3.6359,                 4.0317,              0.0013562,              0.0013562,              0.0013562
                      4,                 3.2638,                 3.1933,                 3.5439,                0.57133,                0.05165,                0.02319,                0.00697,                 3.3894,                 3.0676,                  3.347,              0.0016175,              0.0016175,              0.0016175
                      5,                 3.0003,                 3.0153,                 3.3602,                0.07867,                0.11512,                0.05411,                0.01904,                 3.1094,                  3.099,                 3.2475,               0.001601,               0.001601,               0.001601
                      6,                 2.8276,                 2.8712,                  3.199,                0.64276,                0.13205,                0.08895,                0.03878,                 2.7267,                 2.9448,                 2.7648,              0.0015845,              0.0015845,              0.0015845
                      7,                 2.7446,                 2.7644,                 3.0339,                0.71044,                0.17494,                0.17101,                0.05771,                 2.4282,                 4.8578,                 2.5914,               0.001568,               0.001568,               0.001568
                      8,                 2.5527,                 2.4744,                 2.8422,                0.74068,                0.21264,                0.20359,                0.09429,                 2.2307,                 6.8022,                  2.487,              0.0015515,              0.0015515,              0.0015515
                      9,                 2.3872,                 2.3133,                 2.7223,                0.85475,                0.25734,                0.30264,                0.14515,                  2.105,                 2.7437,                 2.2834,               0.001535,               0.001535,               0.001535
                     10,                 2.2109,                 2.1403,                 2.5821,                0.83578,                0.27314,                0.35027,                0.15261,                   2.07,                 2.5291,                 2.2661,              0.0015185,              0.0015185,              0.0015185
                     11,                 2.1243,                 2.0092,                 2.4814,                0.88838,                0.26411,                 0.4256,                0.21373,                    1.9,                 2.4518,                 2.0962,               0.001502,               0.001502,               0.001502
                     12,                   2.08,                 1.9342,                 2.4501,                0.59786,                0.47512,                 0.4977,                0.24242,                 1.8729,                 1.7994,                 2.0715,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.9901,                 1.8066,                 2.3764,                0.88431,                0.33743,                0.51706,                0.27147,                 1.8005,                 1.4962,                 2.0065,               0.001469,               0.001469,               0.001469
                     14,                 1.8789,                 1.6728,                 2.2063,                0.49623,                0.51819,                0.54298,                0.29184,                 1.7094,                 1.4986,                 1.9324,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.8632,                 1.6548,                 2.2487,                0.63258,                0.56831,                0.54107,                0.32329,                 1.6168,                 1.3315,                 1.8574,               0.001436,               0.001436,               0.001436
                     16,                 1.7927,                 1.5826,                 2.1622,                0.61902,                0.59251,                0.57905,                0.31964,                 1.5858,                 1.3838,                 1.8137,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.7151,                 1.4782,                 2.0652,                0.51749,                 0.5914,                0.60664,                0.31212,                 1.6988,                 1.3371,                 1.8766,              0.0014029,              0.0014029,              0.0014029
