                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2959,                 6.1375,                 4.2865,                      0,                      0,                      0,                      0,                 3.2886,                 5.5237,                 4.1565,             1.1164e-05,             1.1164e-05,             1.1164e-05
                      2,                 3.3403,                 6.0915,                 4.2378,                      0,                      0,                      0,                      0,                 3.2947,                 5.4904,                 4.1332,             2.2275e-05,             2.2275e-05,             2.2275e-05
                      3,                 3.3008,                  6.041,                 4.1938,                0.00089,                0.00066,                0.00051,                0.00039,                 3.2906,                 5.4115,                 4.1161,             3.3161e-05,             3.3161e-05,             3.3161e-05
                      4,                 3.2862,                  5.968,                 4.1559,                0.00025,                0.00873,                0.00022,                  7e-05,                 3.2896,                 5.1177,                  4.097,              3.299e-05,              3.299e-05,              3.299e-05
                      5,                 3.2641,                  5.822,                 4.0833,                0.00055,                0.06104,                0.00096,                0.00026,                 3.3214,                    inf,                 4.2872,             3.2654e-05,             3.2654e-05,             3.2654e-05
                      6,                 3.2002,                 5.6419,                 3.9967,                0.41246,                0.00268,                0.00138,                0.00041,                 3.0627,                 7.3683,                 3.9577,             3.2317e-05,             3.2317e-05,             3.2317e-05
                      7,                 3.1037,                  5.484,                 3.9197,                0.00091,                0.07814,                0.00148,                0.00044,                 2.9862,                 6.0511,                 3.9602,              3.198e-05,              3.198e-05,              3.198e-05
                      8,                 3.0151,                 5.3137,                 3.8277,                0.53459,                0.00429,                0.00247,                0.00055,                 2.9201,                 4.4475,                 3.7984,             3.1644e-05,             3.1644e-05,             3.1644e-05
                      9,                 2.8419,                 5.1351,                 3.6929,                0.41502,                0.01713,                0.00336,                0.00101,                  2.731,                  4.336,                 3.6939,             3.1307e-05,             3.1307e-05,             3.1307e-05
                     10,                 2.6877,                 5.0304,                 3.5663,                0.00184,                0.12375,                0.00659,                0.00225,                 2.5494,                 4.1542,                 3.5362,             3.0971e-05,             3.0971e-05,             3.0971e-05
                     11,                 2.5841,                 4.8373,                 3.4602,                0.60014,                0.01178,                0.00966,                0.00342,                  2.469,                 4.0369,                 3.4697,             3.0634e-05,             3.0634e-05,             3.0634e-05
                     12,                 2.4461,                 4.7003,                 3.3174,                0.58094,                0.01793,                0.01008,                 0.0035,                 2.4062,                 3.9374,                 3.3867,             3.0297e-05,             3.0297e-05,             3.0297e-05
                     13,                 2.3061,                 4.5713,                 3.2207,                0.36338,                0.03013,                0.01316,                0.00426,                 2.3098,                 4.3624,                 3.3004,             2.9961e-05,             2.9961e-05,             2.9961e-05
                     14,                 2.1973,                 4.5095,                 3.1205,                0.60435,                0.02349,                 0.0188,                0.00716,                 2.2316,                 3.7664,                 3.2229,             2.9624e-05,             2.9624e-05,             2.9624e-05
