                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9939,                 5.3963,                 4.2028,                      0,                      0,                      0,                      0,                 3.5991,                 5.2439,                 4.1409,             8.0626e-05,             8.0626e-05,             8.0626e-05
                      2,                 3.6638,                 4.7261,                  3.948,                 0.0036,                0.06438,                0.00337,                0.00091,                 3.2496,                 4.5138,                 3.8715,             0.00016036,             0.00016036,             0.00016036
                      3,                 3.3087,                 3.9867,                 3.5396,                0.30966,                0.03896,                0.01911,                0.00535,                 3.0703,                 3.5548,                 3.4687,             0.00023848,             0.00023848,             0.00023848
                      4,                  3.125,                 3.5103,                 3.2155,                0.25042,                0.06089,                0.03572,                0.01107,                 2.9175,                 3.2019,                 3.2156,             0.00023675,             0.00023675,             0.00023675
                      5,                 2.9575,                 3.2316,                 3.0177,                0.29779,                0.11279,                0.05102,                0.01507,                 2.8627,                 3.0458,                 3.1496,             0.00023434,             0.00023434,             0.00023434
                      6,                  2.853,                 3.0378,                 2.9008,                0.44139,                0.09611,                0.07836,                0.02226,                  2.769,                 2.8966,                 2.9806,             0.00023192,             0.00023192,             0.00023192
                      7,                 2.7889,                 2.9068,                 2.8115,                0.30839,                0.13544,                0.08501,                0.02687,                  2.738,                 2.8023,                 2.9533,             0.00022951,             0.00022951,             0.00022951
                      8,                 2.7131,                 2.7855,                 2.7471,                0.28363,                 0.1681,                0.10257,                0.03628,                 2.6739,                 2.6919,                 2.9062,             0.00022709,             0.00022709,             0.00022709
                      9,                 2.6662,                  2.691,                 2.6915,                0.31596,                0.20686,                0.13186,                0.04778,                 2.6957,                 2.5408,                 2.9071,             0.00022468,             0.00022468,             0.00022468
                     10,                 2.6326,                  2.616,                  2.655,                0.37034,                0.21242,                0.12839,                 0.0428,                 2.6201,                 2.5229,                 2.8305,             0.00022226,             0.00022226,             0.00022226
                     11,                 2.5946,                  2.573,                 2.6322,                0.25004,                0.24863,                0.15938,                0.05586,                 2.5945,                 2.4874,                 2.8158,             0.00021984,             0.00021984,             0.00021984
                     12,                 2.5666,                 2.5408,                  2.596,                0.25868,                0.23097,                0.15361,                0.05317,                 2.5301,                 2.4524,                 2.7569,             0.00021743,             0.00021743,             0.00021743
                     13,                 2.5354,                 2.4916,                 2.5741,                0.30534,                   0.27,                0.17002,                0.05634,                 2.5615,                 2.4302,                 2.7599,             0.00021501,             0.00021501,             0.00021501
                     14,                 2.5217,                 2.4673,                 2.5636,                0.22449,                 0.2806,                 0.1651,                0.05342,                 2.5252,                 2.3859,                 2.7204,              0.0002126,              0.0002126,              0.0002126
                     15,                 2.4971,                 2.4297,                 2.5208,                0.24887,                0.27867,                0.16487,                0.05363,                 2.4983,                 2.3716,                 2.7089,             0.00021018,             0.00021018,             0.00021018
                     16,                 2.4741,                 2.4084,                 2.5064,                 0.2587,                0.27523,                0.18613,                0.06638,                 2.4912,                 2.3813,                 2.6991,             0.00020777,             0.00020777,             0.00020777
                     17,                 2.4662,                 2.3936,                 2.4915,                0.28033,                 0.2738,                 0.1818,                0.06051,                 2.4921,                 2.3714,                 2.6932,             0.00020535,             0.00020535,             0.00020535
                     18,                 2.4437,                 2.3494,                 2.4641,                0.29604,                0.32159,                0.19664,                0.06821,                 2.4451,                 2.3365,                 2.6786,             0.00020293,             0.00020293,             0.00020293
